id,value,name,desc,category,fieldType,frequency,displayLabel,unit
LAB-F1-PH/_.Value,4.12,F1 pH,Fermenter 1 pH reading,Laboratory,analog,5min,F1 pH,
LAB-F1-BRIX/_.Value,8.4,F1 Brix,Fermenter 1 Brix,Laboratory,analog,5min,F1 Brix,°Bx
LAB-F2-PH/_.Value,4.08,F2 pH,Fermenter 2 pH reading,Laboratory,analog,5min,F2 pH,
LAB-F2-BRIX/_.Value,9.1,F2 Brix,Fermenter 2 Brix,Laboratory,analog,5min,F2 Brix,°Bx
LAB-F3-PH/_.Value,3.95,F3 pH,Fermenter 3 pH reading,Laboratory,analog,5min,F3 pH,
LAB-F3-ABV/_.Value,12.8,F3 ABV,Fermenter 3 ABV estimate,Laboratory,analog,5min,F3 ABV,%
LAB-F4-PH/_.Value,4.22,F4 pH,Fermenter 4 pH reading,Laboratory,analog,5min,F4 pH,
LAB-F4-CONTAM/_.Value,0,F4 Contam,Fermenter 4 contamination flag,Laboratory,digital,5min,F4 Contamination,
LAB-BEER-ABV/_.Value,11.2,Beer ABV,Beer well ABV before distillation,Laboratory,analog,5min,Beer Well ABV,%
LAB-PRODUCT-ABV/_.Value,99.4,Product ABV,Finished ethanol ABV,Laboratory,analog,5min,Product ABV,%
LAB-YEAST-VIAB/_.Value,87,Yeast Viability,Yeast viability percentage,Laboratory,analog,1h,Yeast Viability,%
LAB-GRAIN-MOIST/_.Value,14.2,Grain Moisture,Incoming corn moisture,Laboratory,analog,1h,Grain Moisture,%
